MUSTANG 10 - DISTRICT - BIG BEAR,,,,,,,,,,
SEEDING GAMES,,,,,,,,,,
LEFT SIDE IS HOME TEAM FOR POOL PLAY GAMES,,,,,,,,,,
,Score,,,,Score,Date,,,Time,Field
A,15,BIG BEAR,VS,PALM SPRINGS,5,"Thursday, June 19",,,5:00 PM,1
B,8,FRENCH VALLEY,VS,BIG BEAR,6,"Friday, June 20",,,5:00 PM,1
C,3,PALM SPRINGS,VS,FRENCH VALLEY,32,"Saturday, June 21",,,9:00 AM,1
,,,,,,,,,,
D,9,FONTANA,VS,HIGH DESERT - RED,7,"Thursday, June 19",,,7:00 PM,1
E,18,BEAUMONT - BLUE,VS,FONTANA,10,"Friday, June 20",,,7:00 PM,1
F,1,HIGH DESERT - RED,VS,BEAUMONT - BLUE,18,"Saturday, June 21",,,11:00 AM,1
,,,,,,,,,,
SINGLE ELIMINATION GAMES,,,,,,,,,,
HIGHER SEEDED TEAM WILL BE THE HOME TEAM,,,,,,,,,,
,Score,,,,Score,Date,,,Time,Field
G,16,BIG BEAR,VS,HIGH DESERT-RED,1,"Saturday, June 21",,,3:00 PM,1
H,19,FONTANA,VS,PALM SPRINGS,9,"Saturday, June 21",,,5:00 PM,1
I,9,BEAUMONT,VS,BIG BEAR,7,"Sunday, June 22",,,9:00 AM,1
J,4,FRENCH VALLEY,VS,FONTANA,6,"Sunday, June 22",,,11:00 AM,1
,,,,, ,,,,,
CHAMPIONSHIP GAME,,,,,,,,,,
COIN FLIP 1 HOUR TO GAME TIME WITH YOUR SITE DIRECTOR,,,,,,,,,,
,Score,,,,Score,Date,,,Time,Field
,8,BEAUMONT ,VS,FONTANA,9,"Sunday, June 22",,,1:00 PM,1
,,,,,,,,,,
TEAMS,,,,RECORD,RA,,CHAMPION,,,
POOL 1,,,,POOL 1,,,FONTANA,,,
2,BIG BEAR,,,1-1,13,,,,,
3,PALM SPRINGS,,,0-2,47,,,,,
1,FRENCH VALLEY,,,2-0,9,,,,,
POOL 2,,,,POOL 2,,,,,,
2,FONTANA,,,1-1,25,,,,,
3,HIGH DESERT - RED,,,0-2,27,,,,,
1,BEAUMONT - BLUE,,,2-0,11,,,,,
,,,,,,,,,,
PITCHING LOGS - SEE SITE DIRECTOR FOR PITCH COUNT,,,,,,,,,,
NO METAL CLEATS ON PORTABLE MOUNDS,,,,,,,,,,
"***IN LEIU OF INDIVIDUAL GATE FEES, THERE IS A $350 TEAM FEE*** ",,,,,,,,,,
"MUST BE PAID TO THE HOST LEAGUE, PRIOR TO THE START OF YOUR FIRST GAME.  CASH OR CHECK ONLY.  NOT PAID = FORFEIT.",,,,,,,,,,
"NO ANIMALS IN THE PARK, EXCEPT OFFICIAL SERVICE ANIMALS",,,,,"NO COOLERS ALLOWED IN THE PARK, EXCEPT 2 TEAM COOLERS, WHICH MUST STAY IN THE DUGOUT, OR WITH AN ADULT WHO'S ON THE TEAM'S AFFIDAVIT. WE RECOMMEND TOWELS & ICE FOR PLAYERS IN THE 2ND COOLER",,,,,
NO OUTSIDE FOOD & DRINKS / SUPPORT THE HOST LEAGUE'S SNACK BAR,,,,,,,,,,
ANY TEAM WHO FORFEITS A GAME WILL BE ELIMINATED ,,,,,,,,,,
,,,,,,,,,,
TOURNAMENT DIRECTOR,,,,,,,,,,
CULLEN DONOHO //909.831.6338 // c.donoho@pony.org,,,,,,,,,,
TOURNAMENT LOCATION,,,,,,,,,,
"SUGARLOAF PARK - 550 S MAPLE LN, BIG BEAR",,,,,,,,,,
"Tournament Book, Affidavit & Coach's Agreement must be given to the Director 1 hour prior to your first game.",,,,,,,,,,
"WINNER ADVANCES TO REGION, ALL OTHERS ADVANCE TO SECTIONS",,,,,,,,,,
"2 GAME GUARANTEE IN POOL PLAY , 1 GAME GUARANTEE IN SINGLE ELIMINATION PLAY",,,,,,,,,,
