,Score,,,,Score,Date,,,Time,Field
A,15,BIG BEAR,VS,PALM SPRINGS,5,"Thursday, June 19",,,5:00 PM,1
B,8,FRENCH VALLEY,VS,BIG BEAR,6,"Friday, June 20",,,5:00 PM,1
C,3,PALM SPRINGS,VS,FRENCH VALLEY,32,"Saturday, June 21",,,9:00 AM,1
D,9,FONTANA,VS,HIGH DESERT - RED,7,"Thursday, June 19",,,7:00 PM,1
E,18,BEAUMONT - BLUE,VS,FONTANA,10,"Friday, June 20",,,7:00 PM,1
F,1,HIGH DESERT - RED,VS,BEAUMONT - BLUE,18,"Saturday, June 21",,,11:00 AM,1
G,16,BIG BEAR,VS,HIGH DESERT-RED,1,"Saturday, June 21",,,3:00 PM,1
H,19,FONTANA,VS,PALM SPRINGS,9,"Saturday, June 21",,,5:00 PM,1
I,9,BEAUMONT - BLUE,VS,BIG BEAR,7,"Sunday, June 22",,,9:00 AM,1
J,4,FRENCH VALLEY,VS,FONTANA,6,"Sunday, June 22",,,11:00 AM,1
,8,BEAUMONT  - BLUE,VS,FONTANA,9,"Sunday, June 22",,,1:00 PM,1
