,Score,,,,Score,Date,,,Time,Field
A,14,CHINO HILLS - BLACK,VS,PALM SPRINGS,9,"Thursday, June 26",,,5:00 PM,1
B,1,HIGH DESERT - RED,VS,CHINO HILLS - BLACK,32,"Friday, June 27",,,5:00 PM,1
C,10,PALM SPRINGS,VS,HIGH DESERT - RED,30,"Saturday, June 28",,,8:00 AM,1
D,5,RIALTO - BLUE,VS,VALLEY WIDE,10,"Thursday, June 26",,,7:00 PM,1
E,9,MENIFEE - MAROON,VS,RIALTO - BLUE,6,"Friday, June 27",,,7:00 PM,1
F,7,VALLEY WIDE,VS,MENIFEE - MAROON,6,"Saturday, June 28",,,10:00 AM,1
G,0,HIGH DESERT RED,VS,RIALTO BLUE,17,"Saturday, June 28",,,3:00 PM,1
H,13,MENIFEE- MAROON,VS,PALM SPRINGS,3,"Saturday, June 28",,,5:00 PM,1
I,2,VALLEY WIDE,VS,RIALTO BLUE,12,"Sunday, June 29",,,9:00 AM,1
J,7,CHINO HILLS BLACK,VS,MENIFEE-MAROON,8,"Sunday, June 29",,,11:00 AM,1
,3,RIALTO BLUE,VS,MENIFEE- MAROON,2,"Sunday, June 29",,,1:00 PM,1
