,Score,,,,Score,Date,,,Time,Field
A,11,CHINO HILLS - RED,VS,HIGH DESERT - BLACK,1,"Thursday, June 26",,,5:00 PM,4
B,4,RIALTO - BLACK,VS,CHINO HILLS - RED,15,"Friday, June 27",,,5:00 PM,4
C,9,HIGH DESERT - BLACK,VS,RIALTO - BLACK,3,"Saturday, June 28",,,8:00 AM,4
D,5,PERRIS,VS,PALM DESERT - RED,16,"Thursday, June 26",,,7:00 PM,4
E,9,COLTON,VS,PERRIS,17,"Friday, June 27",,,7:00 PM,4
F,16,PALM DESERT - RED,VS,COLTON,0,"Saturday, June 28",,,10:00 AM,4
G,26,HIGH DESERT BLACK,VS,COLTON,0,"Saturday, June 28",,,3:00 PM,4
H,9,PERRIS,VS,RIALTO BLACK,16,"Saturday, June 28",,,5:00 PM,4
I,10,PALM DESERT RED,VS,HIGH DESERT BLACK,3,"Sunday, June 29",,,9:00 AM,4
J,13,CHINO HILLS RED,VS,RIALTO BLACK,3,"Sunday, June 29",,,11:00 AM,4
,3,PALM DESERT RED,VS,CHINO HILLS RED,15,"Sunday, June 29",,,1:00 PM,4
