,Score,,,,Score,Date,,,Time,Field
A,8,MORENO VALLEY,VS,BEAUMONT - BLUE,23,"Thursday, June 26",,,5:00 PM,RED
B,7,TEMECULA,VS,BIG BEAR,11,"Friday, June 27",,,5:00 PM,RED
C,20,BEAUMONT - BLUE,VS,TEMECULA,4,"Saturday, June 28",,,10:15 AM,RED
D,1,BIG BEAR,VS,MORENO VALLEY,14,"Saturday, June 28",,,2:45 PM,RED
E,8,FRENCH VALLEY,VS,CORONA - BLUE,7,"Thursday, June 26",,,7:00 PM,RED
F,3,BEAUMONT - WHITE,VS,FRENCH VALLEY,20,"Friday, June 27",,,7:00 PM,RED
G,29,CORONA - BLUE,VS,BEAUMONT - WHITE,13,"Saturday, June 28",,,12:30 PM,RED
H,14,CORONA - BLUE,VS,TEMECULA,10,"Sunday, June 29",,,12:30 PM,RED
I,13,MORENO VALLEY,VS,BEAUMONT - WHITE,2,"Sunday, June 29",,,2:45 PM,RED
J,12,FRENCH VALLEY,VS,BIG BEAR,2,"Sunday, June 29",,,5:00 PM,RED
K,7,BEAUMONT - BLUE,VS,CORONA - BLUE,6,"Monday, June 30",,,5:00 PM,RED
L,8,FRENCH VALLEY,VS,MORENO VALLEY,7,"Monday, June 30",,,5:00 PM,BLUE
,15,BEAUMONT - BLUE,VS,FRENCH VALLEY,5,"Monday, June 30",,,7:00 PM,RED
